repo,stars,new-stars-last-30d,new-stars-last-14d,new-stars-last-7d,new-stars-last-24H,stars-per-mille-30d,days-last-star,days-last-commit,days-since-creation,mentionable-users,language,archived,dependencies,main-category,sub-category,liveness,unique-contributors
twitter/twitter-text,3033,7,1,0,0,2.308,9,763,3277,66,HTML,false,0,JavaScript,Natural Language Processing,7.000,0
NaturalNode/natural,10362,42,20,10,2,4.053,0,2,4583,137,JavaScript,false,26,JavaScript,Natural Language Processing,75.000,1
loadfive/Knwl.js,5298,0,0,0,0,0.000,60,56,3644,24,JavaScript,false,4,JavaScript,Natural Language Processing,6.000,0
retextjs/retext,2299,6,1,0,0,2.610,10,72,3459,17,JavaScript,false,12,JavaScript,Natural Language Processing,7.000,0
spencermountain/compromise,10945,49,30,19,1,4.477,0,6,4524,102,JavaScript,false,15,JavaScript,Natural Language Processing,70.000,1
axa-group/nlp.js,5902,37,12,3,0,6.269,3,182,1942,65,JavaScript,false,12,JavaScript,Natural Language Processing,25.000,0
NathanEpstein/D3xter,342,0,0,0,0,0.000,177,2693,3314,2,JavaScript,false,0,JavaScript,Data Analysis / Data Visualization,0.000,0
rigtorp/statkit,51,0,0,0,0,0.000,90,3277,3437,1,JavaScript,false,1,JavaScript,Data Analysis / Data Visualization,0.000,0
nathanepstein/datakit,292,0,0,0,0,0.000,49,2419,3187,2,JavaScript,false,1,JavaScript,Data Analysis / Data Visualization,0.000,0
NathanEpstein/Z3d,89,0,0,0,0,0.000,218,3240,3283,1,JavaScript,false,0,JavaScript,Data Analysis / Data Visualization,0.000,0
ClimbsRocks/auto_ml,1630,6,4,3,0,3.681,2,2069,2663,12,Python,false,11,JavaScript,General-Purpose Machine Learning,12.000,0
emilbayes/clustering.js,30,0,0,0,0,0.000,244,3415,3798,1,JavaScript,false,6,JavaScript,General-Purpose Machine Learning,0.000,0
serendipious/nodejs-decision-tree-id3,208,2,2,0,0,9.615,9,397,3861,6,JavaScript,false,2,JavaScript,General-Purpose Machine Learning,7.000,0
antoniodeluca/dn2a.js,460,0,0,0,0,0.000,202,202,2728,2,TypeScript,false,0,JavaScript,General-Purpose Machine Learning,0.000,0
lukapopijac/gaussian-mixture-model,26,0,0,0,0,0.000,412,67,2412,1,JavaScript,false,0,JavaScript,General-Purpose Machine Learning,0.000,0
rlidwka/node-fann,185,0,0,0,0,0.000,88,3120,4417,7,C++,false,0,JavaScript,General-Purpose Machine Learning,0.000,0
transcranial/keras-js,4953,3,2,2,0,0.606,1,1925,2610,10,JavaScript,false,44,JavaScript,General-Purpose Machine Learning,12.000,0
emilbayes/kMeans.js,44,0,0,0,0,0.000,222,3768,3894,1,CoffeeScript,false,0,JavaScript,General-Purpose Machine Learning,0.000,0
primaryobjects/lda,284,1,0,0,0,3.521,28,311,3467,5,JavaScript,false,1,JavaScript,General-Purpose Machine Learning,2.000,0
yandongliu/learningjs,65,0,0,0,0,0.000,674,1652,3516,2,JavaScript,false,2,JavaScript,General-Purpose Machine Learning,0.000,0
machinelearnjs/machinelearnjs,533,1,0,0,0,1.876,26,1573,2034,9,TypeScript,false,0,JavaScript,General-Purpose Machine Learning,2.000,0
nicolaspanel/node-svm,296,0,0,0,0,0.000,165,1903,3530,7,JavaScript,false,31,JavaScript,General-Purpose Machine Learning,0.000,0
harthur/brain,8004,3,1,1,0,0.375,2,2097,4945,17,JavaScript,true,8,JavaScript,General-Purpose Machine Learning,0.000,0
BrainJS/brain.js,14021,56,26,12,1,3.994,0,213,2840,99,TypeScript,false,0,JavaScript,General-Purpose Machine Learning,40.000,0
omphalos/bayesian-bandit.js,44,0,0,0,0,0.000,562,2733,3755,2,JavaScript,false,1,JavaScript,General-Purpose Machine Learning,0.000,0
cazala/synaptic,6915,3,2,1,0,0.434,5,1743,3341,36,JavaScript,false,19,JavaScript,General-Purpose Machine Learning,12.000,0
NathanEpstein/kNear,46,0,0,0,0,0.000,152,2200,3291,2,JavaScript,false,0,JavaScript,General-Purpose Machine Learning,0.000,0
totemstech/neuraln,275,0,0,0,0,0.000,72,3278,3354,6,C++,false,0,JavaScript,General-Purpose Machine Learning,0.000,0
itamarwe/kalman,113,0,0,0,0,0.000,546,3001,4066,1,JavaScript,false,0,JavaScript,General-Purpose Machine Learning,0.000,0
luccastera/shaman,107,0,0,0,0,0.000,1000,2849,3322,1,JavaScript,false,8,JavaScript,General-Purpose Machine Learning,0.000,0
mljs/ml,2401,6,3,1,0,2.499,4,624,3314,27,JavaScript,false,61,JavaScript,General-Purpose Machine Learning,12.000,0
ml5js/ml5-library,6231,17,10,7,2,2.728,0,148,2242,97,JavaScript,false,66,JavaScript,General-Purpose Machine Learning,31.000,0
NathanEpstein/Pavlov.js,501,1,1,1,1,1.996,0,2419,3119,1,C++,false,0,JavaScript,General-Purpose Machine Learning,20.000,0
apache/incubator-mxnet,20643,57,23,4,1,2.761,0,300,3129,893,C++,true,0,JavaScript,General-Purpose Machine Learning,10.000,0
jsmlt/jsmlt,25,0,0,0,0,0.000,197,1484,2411,1,JavaScript,false,33,JavaScript,General-Purpose Machine Learning,0.000,0
nuanio/xgboost-node,35,0,0,0,0,0.000,64,2215,2266,2,Cuda,false,0,JavaScript,General-Purpose Machine Learning,0.000,0
lutzroeder/netron,24553,325,155,84,9,13.237,0,0,4715,1,JavaScript,false,5,JavaScript,General-Purpose Machine Learning,100.000,1
Hoff97/tensorjs,34,0,0,0,0,0.000,226,964,1058,1,TypeScript,false,0,JavaScript,General-Purpose Machine Learning,0.000,0
mil-tokyo/webdnn,1965,4,1,0,0,2.036,7,400,2422,18,TypeScript,false,0,JavaScript,General-Purpose Machine Learning,7.000,0
stdlib-js/stdlib,3517,33,20,8,1,9.383,0,0,2800,38,JavaScript,false,183,JavaScript,Misc,85.000,6
